"Rank","Season","Player","Team","Games","Att","Yds","YAContact","TDs","Brkn Tkls","Missed Tkls","1st Downs","Fum","Fum Lost","Hit at Line","Stuffs","Used Designed Gap"
"[object Object]","2021","Damien Harris","Patriots","15","202","929","480","15","18","8","56","2","2","74","32","147"
"[object Object]","2022","Jonathan Taylor","Colts","10","192","861","481","4","16","9","39","3","3","73","37","114"
"[object Object]","2018","Marlon Mack","Colts","12","195","908","514","9","16","11","50","1","1","72","34","132"
"[object Object]","2019","Miles Sanders","Eagles","16","179","818","487","3","10","15","30","2","1","71","36","113"
"[object Object]","2021","Devin Singletary","Bills","17","188","870","452","7","21","19","44","2","0","70","26","134"
"[object Object]","2021","Melvin Gordon","Broncos","16","203","918","548","8","19","12","48","3","3","70","31","112"
"[object Object]","2020","Aaron Jones","Packers","14","201","1090","666","9","27","9","52","1","0","70","32","132"
"[object Object]","2021","Austin Ekeler","Chargers","16","206","911","521","12","15","7","53","0","0","70","31","137"
"[object Object]","2015","LeSean McCoy","Bills","12","203","895","424","3","26","0","32","2","1","70","49","0"
"[object Object]","2022","David Montgomery","Bears","16","201","801","489","5","23","14","41","1","1","69","27","129"
"[object Object]","2022","Cam Akers","Rams","15","188","786","452","7","17","13","39","2","2","69","35","94"
"[object Object]","2015","Matt Forte","Bears","13","217","896","515","4","31","0","32","1","1","69","34","0"
"[object Object]","2015","Rashad Jennings","Giants","16","195","858","551","3","30","0","37","1","1","69","35","0"
"[object Object]","2015","Chris Johnson","Cardinals","11","196","814","512","3","29","0","24","2","2","69","40","0"
"[object Object]","2022","Devin Singletary","Bills","16","177","819","460","5","14","14","42","3","3","68","31","111"
"[object Object]","2022","A.J. Dillon","Packers","17","186","770","489","7","13","2","47","0","0","68","22","115"
"[object Object]","2016","Mark Ingram","Saints","16","205","1043","490","7","40","0","45","2","2","68","29","150"
"[object Object]","2018","Tevin Coleman","Falcons","16","167","800","396","4","11","11","36","1","0","67","45","106"
"[object Object]","2019","Kenyan Drake","2 teams","14","170","817","384","8","18","6","48","2","1","67","30","110"
"[object Object]","2022","Jalen Hurts","Eagles","15","164","750","228","13","6","20","67","1","0","66","37","151"
