"season","team","total_points","total_yards","rz_eff","rz_td_eff","rz_fg_eff","total_to","def_td","spec_tds"
2012,"WAS",436,6131,0.811320754716981,0.60377358490566,0.207547169811321,14,4,0
2013,"ARI",379,5542,0.843137254901961,0.529411764705882,0.313725490196078,31,5,0
2013,"ATL",353,5490,0.867924528301887,0.528301886792453,0.339622641509434,26,3,0
2013,"BAL",320,4918,0.865384615384615,0.461538461538462,0.403846153846154,29,1,1
2013,"BUF",339,5410,0.954545454545455,0.477272727272727,0.477272727272727,26,3,0
2013,"CAR",366,5069,0.826923076923077,0.557692307692308,0.269230769230769,16,4,0
2013,"CHI",445,6109,0.885245901639344,0.573770491803279,0.311475409836066,22,6,2
2013,"CIN",430,5891,0.847826086956522,0.739130434782609,0.108695652173913,30,5,0
2013,"CLE",308,5430,0.810810810810811,0.540540540540541,0.27027027027027,27,4,1
2013,"DAL",439,5458,0.92156862745098,0.686274509803922,0.235294117647059,18,5,1
2013,"DEN",606,7317,0.940298507462687,0.761194029850746,0.17910447761194,21,2,2
2013,"DET",395,6274,0.857142857142857,0.625,0.232142857142857,34,2,1
2013,"GB",417,6404,0.863636363636364,0.515151515151515,0.348484848484849,23,2,2
2013,"HOU",276,5556,0.825,0.5,0.325,30,1,1
2013,"IND",391,5468,0.9,0.56,0.34,13,1,0
2013,"JAX",247,4701,0.75609756097561,0.439024390243902,0.317073170731707,27,2,0
2013,"KC",430,5396,0.793103448275862,0.568965517241379,0.224137931034483,18,6,2
2013,"MIA",317,5007,0.872340425531915,0.553191489361702,0.319148936170213,26,2,0
2013,"MIN",391,5508,0.857142857142857,0.530612244897959,0.326530612244898,29,1,2
2013,"NE",444,6152,0.865671641791045,0.537313432835821,0.328358208955224,20,3,0
2013,"NO",414,6391,0.844827586206897,0.551724137931034,0.293103448275862,15,0,0
2013,"NYG",294,4920,0.861111111111111,0.472222222222222,0.388888888888889,41,2,0
2013,"NYJ",290,5090,0.880952380952381,0.5,0.380952380952381,29,1,0
2013,"LV",322,5340,0.833333333333333,0.595238095238095,0.238095238095238,29,3,1
2013,"PHI",442,6668,0.824561403508772,0.526315789473684,0.298245614035088,18,2,3
2013,"PIT",379,5400,0.924528301886792,0.528301886792453,0.39622641509434,24,3,1
2013,"LAC",396,6293,0.915254237288136,0.508474576271186,0.406779661016949,19,1,0
2013,"SEA",417,5424,0.912280701754386,0.56140350877193,0.350877192982456,17,4,0
