"game_id","week","team","starting_line"
"2022_03_DAL_NYG",3,"DAL","Matt Farniok, Terence Steele, Tyler Biadasz, Tyler Smith, Zack Martin"
"2022_03_DAL_NYG",3,"NYG","Andrew Thomas, Ben Bredeson, Evan Neal, Jon Feliciano, Mark Glowinski"
"2022_03_DET_MIN",3,"DET","Dan Skipper, Evan Brown, Frank Ragnow, Penei Sewell, Taylor Decker"
"2022_03_DET_MIN",3,"MIN","Brian O'Neill, Christian Darrisaw, Ed Ingram, Ezra Cleveland, Garrett Bradbury"
"2022_03_GB_TB",3,"GB","David Bakhtiari, Elgton Jenkins, Jon Runyan, Josh Myers, Royce Newman"
"2022_03_GB_TB",3,"TB","Brandon Walton, Luke Goedeke, Robert Hainsey, Shaq Mason, Tristan Wirfs"
"2022_03_HOU_CHI",3,"CHI","Braxton Jones, Cody Whitehair, Larry Borom, Lucas Patrick, Sam Mustipher"
"2022_03_HOU_CHI",3,"HOU","A.J. Cann, Kenyon Green, Laremy Tunsil, Scott Quessenberry, Tytus Howard"
"2022_03_JAX_LAC",3,"JAX","Ben Bartch, Brandon Scherff, Cam Robinson, Jawaan Taylor, Luke Fortner"
"2022_03_JAX_LAC",3,"LAC","Matt Feiler, Rashawn Slater, Trey Pipkins, Will Clapp, Zion Johnson"
"2022_03_KC_IND",3,"IND","Braden Smith, Danny Pinter, Matt Pryor, Quenton Nelson, Ryan Kelly"
"2022_03_KC_IND",3,"KC","Andrew Wylie, Creed Humphrey, Joe Thuney, Orlando Brown Jr., Trey Smith"
"2022_03_LA_ARI",3,"ARI","D.J. Humphries, Justin Pugh, Kelvin Beachum, Rodney Hudson, Will Hernandez"
"2022_03_LA_ARI",3,"LA","Alaric Jackson, Coleman Shelton, David Edwards, Joseph Noteboom, Rob Havenstein"
"2022_03_LV_TEN",3,"LV","Alex Bars, Dylan Parham, Jermaine Eluemunor, Kolton Miller, Thayer Munford"
"2022_03_LV_TEN",3,"TEN","Aaron Brewer, Ben Jones, Dennis Daley, Nate Davis, Nicholas Petit-Frere"
"2022_03_NO_CAR",3,"CAR","Austin Corbett, Brady Christensen, Ikem Ekwonu, Pat Elflein, Taylor Moton"
"2022_03_NO_CAR",3,"NO","Calvin Throckmorton, Cesar Ruiz, Erik McCoy, James Hurst, Ryan Ramczyk"
"2022_03_PHI_WAS",3,"PHI","Isaac Seumalo, Jason Kelce, Jordan Mailata, Landon Dickerson, Lane Johnson"
"2022_03_PHI_WAS",3,"WAS","Andrew Norwell, Charles Leno Jr., Samuel Cosmi, Trai Turner, Wes Schweitzer"
"2022_03_PIT_CLE",3,"CLE","Ethan Pocic, Jack Conklin, Jedrick Wills Jr., Joel Bitonio, Wyatt Teller"
"2022_03_PIT_CLE",3,"PIT","Chukwuma Okorafor, Dan Moore, James Daniels, Kevin Dotson, Mason Cole"
"2022_03_SF_DEN",3,"DEN","Cameron Fleming, Dalton Risner, Garett Bolles, Graham Glasgow, Lloyd Cushenberry III"
"2022_03_SF_DEN",3,"SF","Aaron Banks, Jake Brendel, Mike McGlinchey, Spencer Burford, Trent Williams"
"2022_04_ARI_CAR",4,"ARI","D.J. Humphries, Kelvin Beachum, Max Garcia, Rodney Hudson, Will Hernandez"
"2022_04_ARI_CAR",4,"CAR","Austin Corbett, Brady Christensen, Ikem Ekwonu, Pat Elflein, Taylor Moton"
"2022_04_BUF_BAL",4,"BAL","Ben Powers, Daniel Faalele, Kevin Zeitler, Morgan Moses, Tyler Linderbaum"
"2022_04_BUF_BAL",4,"BUF","Dion Dawkins, Mitch Morse, Rodger Saffold, Ryan Bates, Spencer Brown"
"2022_04_CHI_NYG",4,"CHI","Braxton Jones, Larry Borom, Lucas Patrick, Sam Mustipher, Teven Jenkins"
"2022_04_CHI_NYG",4,"NYG","Andrew Thomas, Ben Bredeson, Evan Neal, Jon Feliciano, Mark Glowinski"
"2022_04_CLE_ATL",4,"ATL","Chris Lindstrom, Drew Dalman, Elijah Wilkinson, Jake Matthews, Kaleb McGary"
"2022_04_CLE_ATL",4,"CLE","Ethan Pocic, Jack Conklin, Jedrick Wills Jr., Joel Bitonio, Wyatt Teller"
"2022_04_DEN_LV",4,"DEN","Cameron Fleming, Dalton Risner, Garett Bolles, Graham Glasgow, Lloyd Cushenberry III"
"2022_04_DEN_LV",4,"LV","Alex Bars, Andre James, Dylan Parham, Kolton Miller, Thayer Munford"
"2022_04_JAX_PHI",4,"JAX","Ben Bartch, Brandon Scherff, Cam Robinson, Jawaan Taylor, Luke Fortner"
"2022_04_JAX_PHI",4,"PHI","Isaac Seumalo, Jack Driscoll, Jason Kelce, Landon Dickerson, Lane Johnson"
"2022_04_KC_TB",4,"KC","Andrew Wylie, Creed Humphrey, Joe Thuney, Orlando Brown Jr., Trey Smith"
"2022_04_KC_TB",4,"TB","Donovan Smith, Luke Goedeke, Robert Hainsey, Shaq Mason, Tristan Wirfs"
"2022_04_LA_SF",4,"LA","Alaric Jackson, Bobby Evans, Jeremiah Kolone, Joseph Noteboom, Rob Havenstein"
"2022_04_LA_SF",4,"SF","Aaron Banks, Colton McKivitz, Jake Brendel, Mike McGlinchey, Spencer Burford"
"2022_04_LAC_HOU",4,"HOU","A.J. Cann, Kenyon Green, Laremy Tunsil, Scott Quessenberry, Tytus Howard"
"2022_04_LAC_HOU",4,"LAC","Corey Linsley, Jamaree Salyer, Matt Feiler, Trey Pipkins, Zion Johnson"
"2022_04_MIA_CIN",4,"CIN","Alex Cappa, Cordell Volson, Jonah Williams, La'el Collins, Ted Karras"
"2022_04_MIA_CIN",4,"MIA","Connor Williams, Greg Little, Liam Eichenberg, Robert Hunt, Terron Armstead"
"2022_04_MIN_NO",4,"MIN","Brian O'Neill, Christian Darrisaw, Ed Ingram, Ezra Cleveland, Garrett Bradbury"
"2022_04_MIN_NO",4,"NO","Calvin Throckmorton, Cesar Ruiz, Erik McCoy, James Hurst, Ryan Ramczyk"
"2022_04_NE_GB",4,"GB","David Bakhtiari, Elgton Jenkins, Jon Runyan, Josh Myers, Royce Newman"
"2022_04_NE_GB",4,"NE","Cole Strange, David Andrews, Isaiah Wynn, Michael Onwenu, Trent Brown"
"2022_04_NYJ_PIT",4,"NYJ","Alijah Vera-Tucker, Connor McGovern, Conor McDermott, Laken Tomlinson, Nate Herbig"
"2022_04_NYJ_PIT",4,"PIT","Chukwuma Okorafor, Dan Moore, James Daniels, Kevin Dotson, Mason Cole"
"2022_04_SEA_DET",4,"DET","Dan Skipper, Evan Brown, Frank Ragnow, Penei Sewell, Taylor Decker"
"2022_04_SEA_DET",4,"SEA","Abraham Lucas, Austin Blythe, Charles Cross, Damien Lewis, Gabe Jackson"
"2022_04_TEN_IND",4,"IND","Braden Smith, Matt Pryor, Quenton Nelson, Ryan Kelly, Will Fries"
"2022_04_TEN_IND",4,"TEN","Aaron Brewer, Ben Jones, Dennis Daley, Nate Davis, Nicholas Petit-Frere"
"2022_04_WAS_DAL",4,"DAL","Connor McGovern, Terence Steele, Tyler Biadasz, Tyler Smith, Zack Martin"
"2022_04_WAS_DAL",4,"WAS","Andrew Norwell, Charles Leno Jr., Nick Martin, Saahdiq Charles, Samuel Cosmi"
"2022_05_ATL_TB",5,"ATL","Chris Lindstrom, Drew Dalman, Elijah Wilkinson, Jake Matthews, Kaleb McGary"
"2022_05_ATL_TB",5,"TB","Donovan Smith, Luke Goedeke, Robert Hainsey, Shaq Mason, Tristan Wirfs"
"2022_05_CHI_MIN",5,"CHI","Braxton Jones, Larry Borom, Lucas Patrick, Sam Mustipher, Teven Jenkins"
"2022_05_CHI_MIN",5,"MIN","Brian O'Neill, Christian Darrisaw, Ed Ingram, Ezra Cleveland, Garrett Bradbury"
"2022_05_CIN_BAL",5,"BAL","Ben Powers, Kevin Zeitler, Morgan Moses, Patrick Mekari, Tyler Linderbaum"
"2022_05_CIN_BAL",5,"CIN","Alex Cappa, Cordell Volson, Jonah Williams, La'el Collins, Ted Karras"
"2022_05_DAL_LA",5,"DAL","Connor McGovern, Terence Steele, Tyler Biadasz, Tyler Smith, Zack Martin"
"2022_05_DAL_LA",5,"LA","Alaric Jackson, David Edwards, Jeremiah Kolone, Joseph Noteboom, Rob Havenstein"
"2022_05_DET_NE",5,"DET","Evan Brown, Frank Ragnow, Jonah Jackson, Penei Sewell, Taylor Decker"
"2022_05_DET_NE",5,"NE","Cole Strange, David Andrews, Isaiah Wynn, Michael Onwenu, Trent Brown"
"2022_05_HOU_JAX",5,"HOU","A.J. Cann, Kenyon Green, Laremy Tunsil, Scott Quessenberry, Tytus Howard"
"2022_05_HOU_JAX",5,"JAX","Brandon Scherff, Cam Robinson, Jawaan Taylor, Luke Fortner, Tyler Shatley"
"2022_05_IND_DEN",5,"DEN","Cameron Fleming, Dalton Risner, Garett Bolles, Graham Glasgow, Lloyd Cushenberry III"
"2022_05_IND_DEN",5,"IND","Bernhard Raimann, Braden Smith, Danny Pinter, Matt Pryor, Quenton Nelson"
"2022_05_LAC_CLE",5,"CLE","Ethan Pocic, Jack Conklin, Jedrick Wills Jr., Joel Bitonio, Wyatt Teller"
"2022_05_LAC_CLE",5,"LAC","Corey Linsley, Jamaree Salyer, Matt Feiler, Trey Pipkins, Zion Johnson"
"2022_05_LV_KC",5,"KC","Andrew Wylie, Creed Humphrey, Joe Thuney, Nick Allegretti, Orlando Brown Jr."
"2022_05_LV_KC",5,"LV","Alex Bars, Andre James, Dylan Parham, Jermaine Eluemunor, Kolton Miller"
"2022_05_MIA_NYJ",5,"MIA","Brandon Shell, Connor Williams, Greg Little, Liam Eichenberg, Robert Hunt"
"2022_05_MIA_NYJ",5,"NYJ","Alijah Vera-Tucker, Connor McGovern, Duane Brown, Laken Tomlinson, Nate Herbig"
"2022_05_NYG_GB",5,"GB","Elgton Jenkins, Jon Runyan, Josh Myers, Royce Newman, Yosuah Nijman"
"2022_05_NYG_GB",5,"NYG","Andrew Thomas, Ben Bredeson, Evan Neal, Jon Feliciano, Mark Glowinski"
"2022_05_PHI_ARI",5,"ARI","D.J. Humphries, Justin Pugh, Kelvin Beachum, Sean Harlow, Will Hernandez"
"2022_05_PHI_ARI",5,"PHI","Isaac Seumalo, Jack Driscoll, Jason Kelce, Lane Johnson, Sua Opeta"
"2022_05_PIT_BUF",5,"BUF","Dion Dawkins, Mitch Morse, Rodger Saffold, Ryan Bates, Spencer Brown"
"2022_05_PIT_BUF",5,"PIT","Chukwuma Okorafor, Dan Moore, James Daniels, Kevin Dotson, Mason Cole"
"2022_05_SEA_NO",5,"NO","Andrus Peat, Cesar Ruiz, Erik McCoy, James Hurst, Ryan Ramczyk"
"2022_05_SEA_NO",5,"SEA","Abraham Lucas, Austin Blythe, Charles Cross, Damien Lewis, Gabe Jackson"
"2022_05_SF_CAR",5,"CAR","Austin Corbett, Brady Christensen, Ikem Ekwonu, Pat Elflein, Taylor Moton"
"2022_05_SF_CAR",5,"SF","Aaron Banks, Jake Brendel, Jaylon Moore, Mike McGlinchey, Spencer Burford"
"2022_05_TEN_WAS",5,"TEN","Aaron Brewer, Ben Jones, Dennis Daley, Dillon Radunz, Nicholas Petit-Frere"
"2022_05_TEN_WAS",5,"WAS","Andrew Norwell, Charles Leno Jr., Cornelius Lucas, Nick Martin, Saahdiq Charles"
"2022_06_ARI_SEA",6,"ARI","D.J. Humphries, Kelvin Beachum, Max Garcia, Sean Harlow, Will Hernandez"
"2022_06_ARI_SEA",6,"SEA","Abraham Lucas, Austin Blythe, Charles Cross, Damien Lewis, Phil Haynes"
"2022_06_BAL_NYG",6,"BAL","Ben Powers, Kevin Zeitler, Patrick Mekari, Ronnie Stanley, Tyler Linderbaum"
"2022_06_BAL_NYG",6,"NYG","Andrew Thomas, Ben Bredeson, Evan Neal, Jon Feliciano, Mark Glowinski"
"2022_06_BUF_KC",6,"BUF","David Quessenberry, Dion Dawkins, Mitch Morse, Rodger Saffold, Ryan Bates"
"2022_06_BUF_KC",6,"KC","Andrew Wylie, Creed Humphrey, Joe Thuney, Orlando Brown Jr., Trey Smith"
"2022_06_CAR_LA",6,"CAR","Austin Corbett, Brady Christensen, Ikem Ekwonu, Pat Elflein, Taylor Moton"
"2022_06_CAR_LA",6,"LA","Alaric Jackson, Bobby Evans, Jeremiah Kolone, Oday Aboushi, Rob Havenstein"
"2022_06_CIN_NO",6,"CIN","Alex Cappa, Cordell Volson, Jonah Williams, La'el Collins, Ted Karras"
"2022_06_CIN_NO",6,"NO","Andrus Peat, Cesar Ruiz, Erik McCoy, James Hurst, Ryan Ramczyk"
"2022_06_DAL_PHI",6,"DAL","Connor McGovern, Terence Steele, Tyler Biadasz, Tyler Smith, Zack Martin"
"2022_06_DAL_PHI",6,"PHI","Isaac Seumalo, Jason Kelce, Jordan Mailata, Landon Dickerson, Lane Johnson"
"2022_06_DEN_LAC",6,"DEN","Billy Turner, Cameron Fleming, Dalton Risner, Lloyd Cushenberry III, Quinn Meinerz"
"2022_06_DEN_LAC",6,"LAC","Jamaree Salyer, Matt Feiler, Trey Pipkins, Will Clapp, Zion Johnson"
"2022_06_JAX_IND",6,"IND","Braden Smith, Dennis Kelly, Matt Pryor, Quenton Nelson, Ryan Kelly"
"2022_06_JAX_IND",6,"JAX","Brandon Scherff, Cam Robinson, Jawaan Taylor, Luke Fortner, Tyler Shatley"
"2022_06_MIN_MIA",6,"MIA","Brandon Shell, Connor Williams, Greg Little, Liam Eichenberg, Robert Hunt"
"2022_06_MIN_MIA",6,"MIN","Brian O'Neill, Christian Darrisaw, Ed Ingram, Ezra Cleveland, Garrett Bradbury"
"2022_06_NE_CLE",6,"CLE","Ethan Pocic, Hjalte Froholdt, Jack Conklin, Jedrick Wills Jr., Joel Bitonio"
"2022_06_NE_CLE",6,"NE","Cole Strange, David Andrews, Marcus Cannon, Michael Onwenu, Trent Brown"
"2022_06_NYJ_GB",6,"GB","David Bakhtiari, Elgton Jenkins, Jon Runyan, Josh Myers, Royce Newman"
"2022_06_NYJ_GB",6,"NYJ","Alijah Vera-Tucker, Connor McGovern, Duane Brown, Laken Tomlinson, Nate Herbig"
"2022_06_SF_ATL",6,"ATL","Chris Lindstrom, Drew Dalman, Elijah Wilkinson, Jake Matthews, Kaleb McGary"
"2022_06_SF_ATL",6,"SF","Aaron Banks, Daniel Brunskill, Jake Brendel, Jaylon Moore, Spencer Burford"
"2022_06_TB_PIT",6,"PIT","Chukwuma Okorafor, Dan Moore, James Daniels, Kevin Dotson, Mason Cole"
"2022_06_TB_PIT",6,"TB","Donovan Smith, Luke Goedeke, Robert Hainsey, Shaq Mason, Tristan Wirfs"
"2022_06_WAS_CHI",6,"CHI","Braxton Jones, Larry Borom, Lucas Patrick, Sam Mustipher, Teven Jenkins"
"2022_06_WAS_CHI",6,"WAS","Andrew Norwell, Charles Leno Jr., Cornelius Lucas, Saahdiq Charles, Tyler Larsen"
"2022_07_ATL_CIN",7,"ATL","Chris Lindstrom, Drew Dalman, Elijah Wilkinson, Jake Matthews, Kaleb McGary"
"2022_07_ATL_CIN",7,"CIN","Alex Cappa, Cordell Volson, Jonah Williams, La'el Collins, Ted Karras"
"2022_07_CHI_NE",7,"CHI","Braxton Jones, Larry Borom, Michael Schofield, Sam Mustipher, Teven Jenkins"
"2022_07_CHI_NE",7,"NE","Cole Strange, David Andrews, Marcus Cannon, Michael Onwenu, Trent Brown"
"2022_07_CLE_BAL",7,"BAL","Ben Powers, Kevin Zeitler, Morgan Moses, Ronnie Stanley, Tyler Linderbaum"
