"Rank","Season","Player","Team","Pos.","Games","Pass Snaps","Pass Rushes","Solo Sacks","Ast. Sacks","Comb. Sacks","Unblocked Sacks","FF","FR","Hurries","Hits","Knockdowns","Pressures","Pass Defl.","Passes Batted","Holding Pen Drawn"
"[object Object]","2021","Malcom Brown","Jaguars","DT","17","305","304","2","0","2","0","0","0","8","6","2","13","0","0","1"
"[object Object]","2021","Star Lotulelei","Bills","DT","11","169","169","3","0","3","0","0","0","7","4","1","12","0","0","1"
"[object Object]","2021","Kyler Fackrell","Chargers","LB","13","213","194","3","0","3","0","1","0","5","7","1","12","0","1","1"
"[object Object]","2021","James Smith-Williams","Football Team","DE","14","242","226","1","3","2.5","0","0","0","8","2","1","12","0","1","1"
"[object Object]","2021","Derwin James","Chargers","S","15","510","28","1","2","2","0","3","0","8","6","4","12","0","0","1"
"[object Object]","2021","Ogbonnia Okoronkwo","Rams","LB","12","136","111","1","2","2","0","2","0","5","9","3","12","0","0","0"
"[object Object]","2021","Marquis Haynes","Panthers","DE","17","99","86","3","0","3","0","0","0","8","5","2","11","1","0","0"
"[object Object]","2021","Damien Wilson","Jaguars","LB","17","440","59","3","0","3","2","1","0","6","4","2","11","0","0","2"
"[object Object]","2021","Darius Philon","Raiders","DE","11","148","148","2","0","2","1","0","2","9","5","0","11","0","1","0"
"[object Object]","2021","Jordan Poyer","Bills","S","16","560","32","3","0","3","2","0","0","6","5","1","10","1","0","0"
"[object Object]","2021","Boogie Basham","Bills","DE","7","98","96","2","1","2.5","0","0","0","5","5","0","10","0","0","0"
"[object Object]","2021","Kenny Young","2 teams","LB","13","375","53","2","0","2","0","1","1","6","6","0","10","1","0","0"
"[object Object]","2021","Lavonte David","Buccaneers","LB","12","529","56","2","0","2","0","2","1","8","4","2","10","1","1","0"
"[object Object]","2021","Eric Kendricks","Vikings","LB","15","585","59","5","0","5","2","0","1","3","3","0","9","2","0","2"
"[object Object]","2021","Harrison Smith","Vikings","S","15","612","41","3","0","3","2","1","0","5","4","3","9","0","0","0"
"[object Object]","2021","Dee Ford","49ers","DE","6","86","83","3","0","3","0","1","0","6","2","1","9","0","0","1"
"[object Object]","2021","Kamu Grugier-Hill","Texans","LB","14","386","39","3","0","3","2","1","0","4","6","2","9","0","0","2"
"[object Object]","2021","Jordan Jenkins","Texans","LB","11","151","150","2","1","2.5","0","0","0","5","3","2","9","0","0","0"
"[object Object]","2021","Mario Edwards Jr","Bears","DE","12","129","128","1","2","2","0","0","0","4","5","2","9","0","1","0"
"[object Object]","2021","Roquan Smith","Bears","LB","17","517","63","3","0","3","2","0","0","5","2","1","8","0","0","1"
"[object Object]","2021","Derrick Nnadi","Chiefs","DT","17","224","221","3","0","3","0","0","0","4","5","2","8","1","0","1"
"[object Object]","2021","Jordan Willis","49ers","DE","10","91","90","3","0","3","1","1","0","1","4","2","8","0","0","0"
"[object Object]","2021","Michael Pierce","Vikings","DT","8","114","114","3","0","3","0","1","0","3","3","1","8","0","0","0"
"[object Object]","2021","Devin Bush","Steelers","LB","14","386","24","2","0","2","2","1","1","3","4","2","8","0","0","1"
"[object Object]","2021","Quincy Williams","Jets","LB","16","449","46","2","0","2","2","1","0","4","5","2","8","1","0","0"
"[object Object]","2021","Josh Bynes","Ravens","LB","14","275","25","2","0","2","0","0","0","4","3","1","7","2","0","0"
"[object Object]","2021","C.J. Mosley","Jets","LB","16","596","62","2","0","2","2","2","0","3","2","1","7","3","0","0"
"[object Object]","2021","Naquan Jones","Titans","DT","13","185","183","2","1","2.5","0","0","0","2","1","0","6","1","0","1"
"[object Object]","2021","Budda Baker","Cardinals","S","17","595","56","2","0","2","1","0","0","2","3","1","6","0","1","0"
"[object Object]","2021","Azeez Al-Shaair","49ers","LB","13","404","36","1","2","2","1","1","1","3","1","0","6","1","0","2"
"[object Object]","2021","Justin Hollins","Rams","LB","8","145","103","2","0","2","0","1","0","1","3","0","6","0","0","0"
"[object Object]","2021","PJ Williams","Saints","CB","16","350","24","2","0","2","1","1","0","3","3","2","6","0","0","0"
"[object Object]","2021","Troy Hill","Browns","CB","12","342","18","2","0","2","1","0","0","3","1","1","6","0","0","1"
"[object Object]","2021","Alexander Johnson","Broncos","LB","6","192","36","2","0","2","0","0","1","2","1","0","5","1","0","0"
"[object Object]","2021","Jacob Tuioti-Mariner","Falcons","DT","6","42","31","2","0","2","0","0","0","3","1","0","5","1","0","0"
"[object Object]","2021","Taron Johnson","Bills","CB","16","533","19","3","0","3","2","1","0","1","1","0","4","1","0","1"
"[object Object]","2021","Landon Collins","Football Team","S","13","398","25","3","0","3","1","1","1","1","1","0","4","0","0","1"
"[object Object]","2021","Malcolm Koonce","Raiders","DE","4","22","22","2","0","2","0","0","0","2","2","0","4","0","0","0"
"[object Object]","2021","Henry Mondeaux","Steelers","DE","13","116","115","2","0","2","0","0","0","1","1","0","4","0","0","2"
"[object Object]","2021","Caden Sterns","Broncos","S","14","232","5","2","0","2","1","0","0","1","0","0","3","0","0","0"
"[object Object]","2021","Daniel Ekuale","Patriots","DT","6","67","67","2","0","2","0","0","0","0","0","0","2","0","0","0"
